"","Samples","ECe _values"
"1","B_2_1",2.9
"2","B_2_2",2.51
"3","B_2_3",3.38
"4","B_3_1",2.76
"5","B_3_2",3.04
"6","B_3_3",3.81
"7","B_4_1",4.7
"8","B_4_2",9.25
"9","B_4_3",6.06
"10","B_5_1",4.14
"11","B_5_2",3.49
"12","B_5_3",5.22
"13","B_6_1",3.62
"14","B_6_2",3.94
"15","B_6_3",4.83
"16","B_7_1",4.09
"17","B_7_2",4.46
"18","B_7_3",4.58
"19","B_8_1",4.51
"20","B_8_2",3.86
"21","B_8_3",5.14
"22","B_9_1",4.19
"23","B_9_2",3.1
"24","B_9_3",3.06
"25","R_2_1",4.38
"26","R_2_2",2.59
"27","R_2_3",3.42
"28","R_3_1",3.51
"29","R_3_2",3.2
"30","R_3_3",3.54
"31","R_4_1",5.08
"32","R_4_2",11.11
"33","R_4_3",5.68
"34","R_5_1",6.01
"35","R_5_2",4.06
"36","R_5_3",6.78
"37","R_6_1",3.69
"38","R_6_2",4.77
"39","R_6_3",5.05
"40","R_7_1",3.94
"41","R_7_2",3.67
"42","R_7_3",4.56
"43","R_8_1",3.83
"44","R_8_2",3.14
"45","R_8_3",3.78
"46","R_9_1",6.24
"47","R_9_2",3.74
"48","R_9_3",3.91
