"","Samples","SHANNON","SIMPSON","chao1","ACE"
"1","B_2_1",4.29015910289165,0.976432816850845,186.5,186.161676646707
"2","B_2_2",4.32750599982867,0.977627770762985,198.1,198.181395348837
"3","B_2_3",4.23119079215364,0.973339373590216,174,174
"4","B_3_2",4.26790956492336,0.975851974687174,184,182.341176470588
"5","B_3_3",4.24417404321509,0.975067059918662,181,181
"6","B_4_1",4.36887950102955,0.976854835815993,196,196
"7","B_4_2",4.27120369928072,0.972370237252659,185,185
"8","B_4_3",4.29344879522468,0.97524985802773,178,178
"9","B_5_1",4.2566040713858,0.975798924456705,177,177
"10","B_5_3",4.16913815542332,0.970526037235664,163,163
"11","B_6_1",4.15999755427267,0.972810179076112,184,184
"12","B_6_2",4.28292601718442,0.976046078640543,180,180.157894736842
"13","B_6_3",4.25183288867265,0.973260459443817,178,178
"14","B_7_1",4.32656971711102,0.976688866206781,192,192
"15","B_7_2",4.36705001773524,0.978003296572075,199.5,199.348993288591
"16","B_7_3",4.37029563775064,0.978383974292557,195.666666666667,195.344086021505
"17","B_8_1",3.91434448323519,0.959551494168459,135,135
"18","B_8_2",4.20226665430288,0.973832403237823,162.25,162.230769230769
"19","B_8_3",4.19497720005037,0.97166878902938,162,162
"20","B_9_1",4.18626467542014,0.971482902354464,192.25,192.175
"21","B_9_2",4.11750100793144,0.969607805064129,151,151
"22","B_9_3",4.14374094481006,0.968316590313796,174,174
"23","R_2_1",4.22924532167379,0.976008311862469,178,178
"24","R_2_2",4.15608077320311,0.972374733054311,158,158.150684931507
"25","R_2_3",4.22118069850006,0.97652080106042,159,159
"26","R_3_1",4.23853041667102,0.975700983752225,200,198.316831683168
"27","R_3_2",4.18361851497923,0.973895305695513,185.166666666667,185.157258064516
"28","R_3_3",4.21837036814588,0.973996611371623,190.666666666667,190.352380952381
"29","R_4_1",4.18763559826415,0.973653871478689,168.25,168.157894736842
"30","R_4_2",4.18720186047959,0.973715751605672,180.083333333333,180.2
"31","R_4_3",4.3088240848327,0.977780223372963,186,186
"32","R_5_1",4.17765794690325,0.973351047424745,169,169
"33","R_5_2",4.16559445188718,0.972082589382248,151,151
"34","R_5_3",4.16848696937753,0.973439111587355,182.4,182.364640883978
"35","R_6_1",4.19306323725684,0.974506408623842,160,160
"36","R_6_2",4.34588570293307,0.977130263002185,190,190
"37","R_6_3",4.21797076291929,0.975440531075283,167,167
"38","R_7_1",4.23339869027076,0.97569818839978,160,160
"39","R_7_2",4.26629957954015,0.97657118041047,171,171
"40","R_7_3",4.26606958480011,0.975968002071262,163.5,163.149122807018
"41","R_8_1",4.15568158105229,0.971591101184992,165,165.192771084337
"42","R_8_2",4.11815306156152,0.972468325873119,148,148
"43","R_8_3",4.2102192293612,0.974262393748267,166,166
"44","R_9_1",4.18516198650863,0.973191937063983,170.5,170.172727272727
"45","R_9_2",4.15787375094629,0.971180642655594,186.071428571429,186.183168316832
"46","R_9_3",4.18789555544423,0.974038874192601,161,159.30534351145
