sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
B-2-1	64452	57108	88.61	56423	53114	82.41	38899	60.35
B-2-2	119729	100190	83.68	99112	93035	77.7	63266	52.84
B-2-3	377	11	2.92	2	0	0	0	0
B-3-1	5461	4412	80.79	4342	3922	71.82	3188	58.38
B-3-2	108367	69164	63.82	68558	64121	59.17	43489	40.13
B-3-3	134382	110651	82.34	109659	102761	76.47	67620	50.32
B-4-1	87350	78924	90.35	78213	73861	84.56	53794	61.58
B-4-2	72831	66781	91.69	66249	62437	85.73	42863	58.85
B-4-3	82218	75502	91.83	74927	70361	85.58	52074	63.34
B-5-1	327	42	12.84	34	21	6.42	21	6.42
B-5-2	53604	42512	79.31	42053	38677	72.15	28572	53.3
B-5-3	85062	78687	92.51	78004	74017	87.02	50467	59.33
B-6-1	124021	108925	87.83	108164	104046	83.89	69410	55.97
B-6-2	113067	100041	88.48	99241	94099	83.22	62203	55.01
B-6-3	105595	92434	87.54	91721	86867	82.26	59809	56.64
B-7-1	66972	55523	82.9	54886	52074	77.75	37904	56.6
B-7-2	105645	77025	72.91	76317	72588	68.71	51820	49.05
B-7-3	1104	489	44.29	465	438	39.67	427	38.68
B-8-1	38148	34440	90.28	34006	31801	83.36	24533	64.31
B-8-2	110520	99394	89.93	98573	94732	85.71	64591	58.44
B-8-3	101922	91564	89.84	90906	87284	85.64	62826	61.64
B-9-1	76805	63677	82.91	63148	59753	77.8	45447	59.17
B-9-2	117625	99644	84.71	99068	95859	81.5	65223	55.45
B-9-3	872	20	2.29	6	6	0.69	6	0.69
ExtCont	606	7	1.16	3	0	0	0	0
MockCom	1081	15	1.39	1	0	0	0	0
PCRCont	1266	97	7.66	84	84	6.64	84	6.64
R-2-1	116571	104567	89.7	103806	95414	81.85	60236	51.67
R-2-2	94693	80036	84.52	79375	69793	73.7	47431	50.09
R-2-3	76422	68532	89.68	67929	63707	83.36	40405	52.87
R-3-1	114401	93447	81.68	92666	87477	76.47	56492	49.38
R-3-2	133358	121869	91.38	121070	115479	86.59	69790	52.33
R-3-3	29703	27456	92.44	27235	24574	82.73	17129	57.67
R-4-1	100783	86876	86.2	86263	80870	80.24	52777	52.37
R-4-2	110575	94855	85.78	94307	86025	77.8	56162	50.79
R-4-3	112555	98308	87.34	97757	93792	83.33	60233	53.51
R-5-1	127316	110743	86.98	109972	106017	83.27	67532	53.04
R-5-2	44810	39896	89.03	39504	35699	79.67	25786	57.55
R-5-3	105957	83775	79.07	83134	76880	72.56	48438	45.71
R-6-1	112387	101286	90.12	100662	93604	83.29	63510	56.51
R-6-2	114884	101034	87.94	100345	94998	82.69	65312	56.85
R-6-3	124229	101614	81.8	101088	96747	77.88	62977	50.69
R-7-1	115366	105153	91.15	104599	94225	81.67	60740	52.65
R-7-2	137357	117464	85.52	116647	112388	81.82	70059	51.01
R-7-3	82184	63775	77.6	63301	60910	74.11	41403	50.38
R-8-1	151566	125600	82.87	125133	121200	79.97	79470	52.43
R-8-2	103806	90039	86.74	89420	82700	79.67	55139	53.12
R-8-3	110472	82294	74.49	81699	77825	70.45	47992	43.44
R-9-1	145196	127465	87.79	126656	121792	83.88	73316	50.49
R-9-2	141996	122290	86.12	121434	114165	80.4	71351	50.25
R-9-3	158228	136144	86.04	135457	119305	75.4	76381	48.27
