"","Samples","SHANNON","SIMPSON"
"1","B_2_1",0.694413292555653,0.477401063095149
"2","B_2_2",0.654978628630011,0.425175067069075
"3","B_3_2",0.591150495066125,0.383875974054952
"4","B_3_3",0.645379767676074,0.405530420981626
"5","B_4_1",0.661042025098825,0.449976159590508
"6","B_4_2",0.607333737730493,0.404851529150471
"7","B_4_3",0.518939066818043,0.324291232599297
"8","B_5_2",0.590236291202592,0.389015550799399
"9","B_5_3",0.570647670236095,0.373677368056916
"10","B_6_1",0.601803540396687,0.38350178924492
"11","B_6_2",0.556537522917414,0.348292020087573
"12","B_6_3",0.673070863606609,0.446100075514034
"13","B_7_1",0.640359591735623,0.431334081093012
"14","B_7_2",0.580633145821,0.378914079738539
"15","B_8_1",0.67554610540787,0.462188461264419
"16","B_8_2",0.500319651360807,0.289593785802231
"17","B_8_3",0.502953943582274,0.309372651847571
"18","B_9_1",0.671327647834738,0.446571064562182
"19","B_9_2",0.544038096518032,0.320511441421103
