"","Samples","SHANNON"
"1","B_2_1",1.89720637502713
"2","B_2_2",2.128873755729
"3","B_3_2",2.22870093128332
"4","B_3_3",2.19729177993781
"5","B_4_1",1.90869488708406
"6","B_4_2",1.99187621307396
"7","B_4_3",1.85073681811657
"8","B_5_2",1.96441356140723
"9","B_5_3",1.92175442956724
"10","B_6_1",2.05609175442164
"11","B_6_2",1.97233836390786
"12","B_6_3",2.14054842766801
"13","B_7_1",1.90502456557518
"14","B_7_2",2.09489324898548
"15","B_8_1",1.77159486486377
"16","B_8_2",1.91228756835966
"17","B_8_3",2.01286053055649
"18","B_9_1",1.69015311009541
"19","B_9_2",1.94846783620483
"20","R_2_1",2.0338989852144
"21","R_2_2",2.16076518967278
"22","R_2_3",2.06749790630045
"23","R_3_1",1.96087965362008
"24","R_3_2",1.86526358347624
"25","R_3_3",1.44884740625337
"26","R_4_1",2.00854347659792
"27","R_4_2",1.78724948151488
"28","R_4_3",1.66072766469503
"29","R_5_1",1.97295938547526
"30","R_5_2",1.8313954008717
"31","R_5_3",1.77535950172488
"32","R_6_1",1.97934637526088
"33","R_6_2",1.9659118886098
"34","R_6_3",1.95244521771578
"35","R_7_1",1.55715174404696
"36","R_7_2",1.94832054681267
"37","R_7_3",1.81125140241203
"38","R_8_1",1.60370714617311
"39","R_8_2",1.79223843750222
"40","R_8_3",2.04577248538886
"41","R_9_1",1.95234528630388
"42","R_9_2",2.11128226695304
"43","R_9_3",1.97460150595353
